DEBUG:root:{'pid': 95090, 'executed': '1552425006.765883', 'result': 4423324579.977492, 'completed': '1552425011.893615', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 3, 'scheduled': '1552425006.763077', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95091, 'executed': '1552425006.766179', 'result': 2729605378.461586, 'completed': '1552425014.099214', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 4, 'scheduled': '1552425006.7631528', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95093, 'executed': '1552425006.766686', 'result': 2480976873.6357293, 'completed': '1552425014.458472', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 6, 'scheduled': '1552425006.763324', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95094, 'executed': '1552425006.766996', 'result': 2284442280.8247743, 'completed': '1552425014.65963', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 7, 'scheduled': '1552425006.7634351', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95088, 'executed': '1552425006.765313', 'result': 2463098319.425431, 'completed': '1552425014.915353', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 1, 'scheduled': '1552425006.745228', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95137, 'executed': '1552425006.8996532', 'result': 1945636570.9245589, 'completed': '1552425016.866823', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 50, 'scheduled': '1552425006.776822', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95096, 'executed': '1552425006.776705', 'result': 1622838008.2416604, 'completed': '1552425017.859217', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 9, 'scheduled': '1552425006.763648', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95095, 'executed': '1552425006.768283', 'result': 1399726390.3510358, 'completed': '1552425020.079746', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 8, 'scheduled': '1552425006.763541', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95089, 'executed': '1552425006.765703', 'result': 1225836766.3708973, 'completed': '1552425022.044619', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 2, 'scheduled': '1552425006.7628858', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95092, 'executed': '1552425006.766415', 'result': 1208144170.2117689, 'completed': '1552425022.3726', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 5, 'scheduled': '1552425006.763235', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95098, 'executed': '1552425006.792556', 'result': 1069396329.9236706, 'completed': '1552425023.435471', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 11, 'scheduled': '1552425006.763896', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
