DEBUG:root:{'pid': 93525, 'executed': '1552420221.767811', 'result': 14298316178.735304, 'completed': '1552420223.2292879', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 7, 'scheduled': '1552420221.7657611', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93526, 'executed': '1552420221.7679439', 'result': 11422816536.074215, 'completed': '1552420223.566188', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 8, 'scheduled': '1552420221.765871', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93520, 'executed': '1552420221.76679', 'result': 11058559226.643566, 'completed': '1552420223.592126', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 2, 'scheduled': '1552420221.765088', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93521, 'executed': '1552420221.766933', 'result': 10828350493.510052, 'completed': '1552420223.633793', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 3, 'scheduled': '1552420221.765322', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93523, 'executed': '1552420221.7674', 'result': 10814062898.936152, 'completed': '1552420223.640928', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 5, 'scheduled': '1552420221.76548', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93522, 'executed': '1552420221.76721', 'result': 11174140203.378613, 'completed': '1552420223.6399791', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 4, 'scheduled': '1552420221.7654028', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93524, 'executed': '1552420221.767658', 'result': 10962029135.07188, 'completed': '1552420223.642306', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 6, 'scheduled': '1552420221.76559', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93528, 'executed': '1552420221.776426', 'result': 11174848963.590105, 'completed': '1552420223.6487072', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 10, 'scheduled': '1552420221.7660859', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93527, 'executed': '1552420221.7736058', 'result': 11116267925.183744, 'completed': '1552420223.6517482', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 9, 'scheduled': '1552420221.765995', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93519, 'executed': '1552420221.766644', 'result': 10669488174.393164, 'completed': '1552420223.658436', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '53b6d468-25b0-40cb-8345-72266b92c386', 'task_id': 1, 'scheduled': '1552420211.533563', 'worker_id': '100971d9-4924-4739-bd36-6435630ae54c', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}

