DEBUG:root:{'pid': 92711, 'executed': '1552417160.953838', 'result': 21289670630.745407, 'completed': '1552417162.1226282', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 1, 'scheduled': '1552417160.7735739', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92716, 'executed': '1552417160.9580271', 'result': 11653849705.591858, 'completed': '1552417162.8284318', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 6, 'scheduled': '1552417160.9520562', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92715, 'executed': '1552417160.9571478', 'result': 11641385852.27579, 'completed': '1552417162.829661', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 5, 'scheduled': '1552417160.951902', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92718, 'executed': '1552417160.96056', 'result': 11660563363.17151, 'completed': '1552417162.8324292', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 8, 'scheduled': '1552417160.952357', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92714, 'executed': '1552417160.956811', 'result': 11478867813.528908, 'completed': '1552417162.8391612', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 4, 'scheduled': '1552417160.951743', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92712, 'executed': '1552417160.9558442', 'result': 11523027641.14628, 'completed': '1552417162.845855', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 2, 'scheduled': '1552417160.9511979', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92717, 'executed': '1552417160.9587011', 'result': 11533060629.804873, 'completed': '1552417162.84938', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 7, 'scheduled': '1552417160.952211', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92720, 'executed': '1552417160.965578', 'result': 11465660431.66931, 'completed': '1552417162.865033', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 10, 'scheduled': '1552417160.952708', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92719, 'executed': '1552417160.964253', 'result': 11486080678.133036, 'completed': '1552417162.867521', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 9, 'scheduled': '1552417160.9525068', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92713, 'executed': '1552417160.956288', 'result': 11379527826.674171, 'completed': '1552417162.86865', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 3, 'scheduled': '1552417160.951542', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92711, 'executed': '1552417162.1244621', 'result': 15355386794.12417, 'completed': '1552417163.332363', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 11, 'scheduled': '1552417160.952883', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92716, 'executed': '1552417162.829026', 'result': 13551048885.062344, 'completed': '1552417164.134915', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 12, 'scheduled': '1552417160.953034', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92718, 'executed': '1552417162.833086', 'result': 13915334170.919445, 'completed': '1552417164.1378849', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 14, 'scheduled': '1552417160.953425', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92715, 'executed': '1552417162.830245', 'result': 13709074077.308735, 'completed': '1552417164.131724', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 13, 'scheduled': '1552417160.9532359', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92714, 'executed': '1552417162.839689', 'result': 13729189093.014063, 'completed': '1552417164.139693', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 15, 'scheduled': '1552417160.9536011', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92712, 'executed': '1552417162.846463', 'result': 13761523519.49403, 'completed': '1552417164.142333', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 16, 'scheduled': '1552417160.953761', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92720, 'executed': '1552417162.871912', 'result': 15067261076.91396, 'completed': '1552417164.1423411', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 18, 'scheduled': '1552417160.954069', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92717, 'executed': '1552417162.850179', 'result': 13962423054.991022, 'completed': '1552417164.142617', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 17, 'scheduled': '1552417160.953969', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92713, 'executed': '1552417162.883583', 'result': 14428593605.258049, 'completed': '1552417164.138766', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 20, 'scheduled': '1552417160.954289', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92719, 'executed': '1552417162.882325', 'result': 14367995276.294636, 'completed': '1552417164.158669', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 19, 'scheduled': '1552417160.9541771', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92711, 'executed': '1552417163.332701', 'result': 15099731342.780571, 'completed': '1552417164.623144', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 21, 'scheduled': '1552417160.954396', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92715, 'executed': '1552417164.138263', 'result': 13393584923.652145, 'completed': '1552417165.465119', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 24, 'scheduled': '1552417160.9549289', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92712, 'executed': '1552417164.1426728', 'result': 13586533617.126757, 'completed': '1552417165.48019', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 26, 'scheduled': '1552417160.955277', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92714, 'executed': '1552417164.1399539', 'result': 13477833785.401619, 'completed': '1552417165.486558', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 25, 'scheduled': '1552417160.9551098', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92718, 'executed': '1552417164.1380951', 'result': 13356482259.980381, 'completed': '1552417165.493008', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 23, 'scheduled': '1552417160.954766', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92716, 'executed': '1552417164.135096', 'result': 13218355974.530966, 'completed': '1552417165.4963222', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 22, 'scheduled': '1552417160.9545631', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
