DEBUG:root:{'pid': 93664, 'executed': '1552420740.041279', 'result': 12468687777.842983, 'completed': '1552420741.503605', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 4, 'scheduled': '1552420740.0394838', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93665, 'executed': '1552420740.041635', 'result': 12418575824.421728, 'completed': '1552420741.509461', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 5, 'scheduled': '1552420740.039563', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93667, 'executed': '1552420740.04479', 'result': 12126749469.572124, 'completed': '1552420741.551429', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 7, 'scheduled': '1552420740.039718', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93661, 'executed': '1552420740.040592', 'result': 12085929709.724707, 'completed': '1552420741.553942', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 1, 'scheduled': '1552420722.196094', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93663, 'executed': '1552420740.0410082', 'result': 12088022064.132729, 'completed': '1552420741.5575418', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 3, 'scheduled': '1552420740.039396', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93670, 'executed': '1552420740.054892', 'result': 12175617610.986324, 'completed': '1552420741.568933', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 10, 'scheduled': '1552420740.040436', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93662, 'executed': '1552420740.0408509', 'result': 11862439512.943502, 'completed': '1552420741.582253', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 2, 'scheduled': '1552420740.039145', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93666, 'executed': '1552420740.044377', 'result': 12109022150.861328, 'completed': '1552420741.582623', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 6, 'scheduled': '1552420740.039642', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93668, 'executed': '1552420740.046967', 'result': 12091575860.127703, 'completed': '1552420741.584694', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 8, 'scheduled': '1552420740.039794', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93669, 'executed': '1552420740.048021', 'result': 11983624500.217102, 'completed': '1552420741.622114', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 9, 'scheduled': '1552420740.040307', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93664, 'executed': '1552420741.504225', 'result': 14932535890.350151, 'completed': '1552420742.743211', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 11, 'scheduled': '1552420740.040544', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
